resolution,fixed,won't fix,not a problem,duplicate,invalid,later,resolved,abandoned,cannot reproduce,implemented,done,pending closed,not a bug,information provided,workaround,incomplete,delivered,won't do,works for me,auto closed,obsolete,can't do,duplicate ticket,feedback received,complete,works as designed,remind,rejected,out of date,duplicate issue,deferred,incomplete description,partially completed,explained,timed out,handled by support,incorrectly filed,answered,tracked elsewhere,spam,deployed,support request,resolved locally,unsolved mysteries,low engagement,staged,migrated to another its,unresolved,mirrororphan,resolved at apache,upstream,stop dots,will not implement,test pending,current release,next release,roadmap candidate,declined,canceled,sent to docs,bugzillaorphan,errata,parked,automatically closed,out of scope,sent to forums,known error,deprioritized,done-errata,gone away,community answered,Total
Jira-CLOV,839,498,0,64,15,0,0,0,15,0,0,0,13,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,3,11,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501
RedHat-JGRP,0,120,0,2,0,0,0,0,67,0,2017,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,158,29,51,22,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2514
Apache-LENS,960,16,12,61,19,0,0,0,12,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083
JiraEcosystem-AUI,1325,759,0,187,39,0,0,0,48,0,1223,0,40,0,0,51,0,53,0,0,143,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,2,0,0,0,0,0,4,1,2,0,0,0,4021
Apache-OPENEJB,1559,21,12,28,29,4,0,9,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673
Apache-HBASE,18632,1361,902,1384,882,350,34,388,367,177,71,1,29,8,4,568,0,20,3,2,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25192
RedHat-DBZ,0,28,0,112,0,0,0,0,100,0,3740,0,163,0,0,0,0,119,0,0,102,8,2,0,0,0,0,30,141,140,0,3,2,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4806
RedHat-CLOUD,0,9,0,8,0,0,0,0,5,0,1351,0,0,0,0,0,0,32,0,0,19,0,0,0,0,0,0,23,63,64,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592
Spring-XD,39,129,0,133,126,0,0,0,20,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2433,46,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046
Spring-DATAJPA,708,47,0,82,98,0,0,0,66,0,22,0,0,0,0,14,0,46,0,0,0,0,0,0,221,182,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490
Apache-APEXMALHAR,1455,64,2,31,49,1,1,0,5,12,64,0,0,1,0,8,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697
RedHat-DEVELOPER,0,66,0,4,0,0,0,0,53,0,4173,0,0,0,0,0,0,36,0,0,1,0,0,0,0,0,0,38,393,322,101,10,25,8,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5252
Apache-CXF,6673,377,406,145,260,23,5,4,190,11,7,3,21,44,13,67,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8256
Apache-ASTERIXDB,1746,70,36,99,112,2,4,1,35,40,24,0,5,3,3,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2188
Apache-HADOOP,10009,1002,269,1514,408,32,12,12,176,29,67,1,13,3,2,75,1,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13644
JiraEcosystem-UPM,2083,550,0,307,112,0,0,0,113,0,14,0,92,0,0,0,0,61,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,57,35,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3714
JiraEcosystem-APL,708,82,0,90,29,0,0,0,28,0,4,0,8,0,0,4,0,5,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204
Spring-DATAGRAPH,181,200,0,47,28,0,0,0,25,0,2,0,0,0,0,1,0,10,0,0,0,0,0,0,868,28,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402
RedHat-CNV,1,0,0,57,0,0,0,0,4,0,653,0,55,0,0,0,0,75,0,0,55,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,1212
Apache-TIKA,2440,108,129,132,43,7,3,0,34,6,8,1,18,3,6,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2948
Sonatype-MVNCENTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apache-DERBY,4654,238,68,387,272,2,1,2,176,0,5,0,7,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5827
Apache-ATLAS,2990,54,43,165,173,6,48,92,81,6,72,0,42,8,3,7,1,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808
Apache-RANGER,3105,25,60,84,40,1,9,6,18,11,10,10,40,11,3,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441
Apache-CMIS,744,81,112,7,15,4,2,1,11,4,1,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997
Apache-BEEHIVE,961,52,0,17,34,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082
Jira-CONFSERVER,12750,6259,0,4375,523,0,0,0,869,0,99,0,777,0,0,52,0,3178,0,0,2113,0,0,0,0,0,0,0,0,0,0,0,0,0,2235,12,16,1817,530,3,5,1996,168,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37824
Apache-SUREFIRE,1130,124,108,186,22,1,1,4,125,0,12,0,48,3,0,28,1,2,2,32,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837
Jira-FE,2614,242,0,270,70,0,0,0,74,0,3,0,88,0,0,14,0,6,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,424,121,1,443,34,0,0,35,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4734
Apache-MYFACES,3096,396,79,202,317,15,2,12,63,8,0,0,4,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4203
MongoDB-JAVA,2619,379,0,284,0,0,0,0,64,0,274,0,0,0,0,37,0,35,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,85,15,4195
Spring-INT,800,177,0,99,127,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3080,49,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4357
Sonatype-OSSRH,66810,746,0,8022,0,0,0,0,94,0,638,0,489,0,0,863,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6055,294,0,0,0,0,0,0,84700
Apache-ARTEMIS,3020,69,104,146,76,1,1,48,72,8,22,0,43,53,4,15,1,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3704
JiraEcosystem-AC,286,89,0,142,19,0,0,0,18,0,239,0,51,0,0,3,0,6,0,0,59,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2,0,61,56,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053
JFrog-HAP,0,0,0,29,0,0,0,0,4,0,645,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732
Apache-SHINDIG,1535,66,17,27,60,14,0,1,21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1743
Apache-REEF,1319,29,20,41,34,3,6,0,7,94,38,0,1,1,0,2,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606
Apache-HAMA,696,127,6,21,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867
Apache-TAJO,1488,125,37,73,11,3,3,0,57,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806
RedHat-WFLY,2,176,0,76,0,0,0,0,136,0,10767,0,50,0,0,0,0,159,0,0,79,5,1,0,0,0,0,699,634,382,20,23,18,69,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13311
Apache-PDFBOX,3478,237,341,354,182,12,0,17,217,24,3,0,194,2,3,47,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5154
Apache-XERCESJ,829,56,17,115,84,5,0,0,61,1,0,0,2,0,1,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470
Apache-AXIS,1310,103,4,88,96,1,0,1,102,2,0,0,1,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843
Apache-TUSCANY,3098,101,42,67,115,23,0,0,43,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3496
RedHat-ARQ,0,38,0,0,0,0,0,0,5,0,1476,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,47,74,44,6,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711
Spring-DATAREST,524,16,0,53,17,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862
Apache-IVY,1025,23,15,66,58,0,3,1,23,1,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222
RedHat-ENTMQST,1,3,0,21,0,0,0,0,15,0,2508,0,8,0,0,0,0,139,0,0,21,1,0,0,0,0,0,17,19,45,1,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2812
Spring-SWS,516,73,0,30,43,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,179,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891
Apache-STANBOL,1155,44,15,13,9,7,2,1,9,15,25,15,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317
Apache-SQOOP,1996,69,73,86,33,0,2,0,4,5,6,1,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2283
Apache-OLINGO,957,43,67,38,15,14,13,1,20,22,41,0,6,24,1,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271
RedHat-FORGE,0,113,0,0,0,0,0,0,49,0,1865,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,56,114,65,14,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2327
Apache-OPENJPA,1806,50,57,60,64,1,1,5,36,0,0,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088
RedHat-AS7,0,148,0,17,0,0,0,0,96,0,4293,0,0,0,0,0,0,33,0,0,10,0,0,0,0,0,0,364,227,179,25,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5427
RedHat-TEIID,0,91,0,6,0,0,0,0,36,0,4631,0,2,0,0,0,0,36,0,0,5,1,0,0,0,0,0,223,254,171,128,36,28,28,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5683
Apache-TAPESTRY,1664,182,1,153,234,4,0,0,54,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325
Apache-EAGLE,667,29,13,8,1,0,66,0,3,2,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819
Apache-MAPREDUCE,3690,409,217,661,201,11,2,5,80,7,3,0,6,0,0,127,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5426
Apache-JSPWIKI,692,68,17,35,64,1,0,1,20,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905
Apache-ZOOKEEPER,2307,85,82,233,118,6,4,3,40,16,11,0,13,10,2,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2943
Apache-CAMEL,15546,965,391,332,357,88,16,210,156,147,44,8,91,128,11,54,4,19,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18579
RedHat-ENTMQ,0,83,0,9,0,0,0,0,33,0,1117,0,12,0,0,0,0,35,0,0,10,2,0,0,0,0,0,32,70,34,3,7,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473
RedHat-RHCLOUD,3,0,0,102,0,0,0,0,7,0,2603,0,14,0,0,0,0,126,0,0,33,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2895
Apache-LUCENE,7173,536,195,299,217,17,14,17,39,28,19,2,10,6,8,98,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8695
